taxid	Guild	Trophic.Mode	Mycorrhizal	Endophyte	Pathogens	Saprotrophs	Pathotroph	Saprotroph	Symbiotroph
AB273553_SH1202641.10FU	|Plant Pathogen|	 Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB273563_SH1202620.10FU	|Plant Pathogen|	 Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB273565_SH1202615.10FU	|Plant Pathogen|	 Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB278194_SH1231066.10FU	|Fungal Parasite|-Undefined Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB284399_SH1315294.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB284443_SH1315314.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB285105_SH1363643.10FU	|Ectomycorrhizal|-Undefined Saprotroph	Saprotroph-Symbiotroph	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
AB292723_SH1850651.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB307667_SH1357493.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB426476_SH1238193.10FU	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	Pathotroph-Symbiotroph	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
AB428337_SH0088036.10FU	Animal Parasite-Animal Pathogen-Animal Symbiotroph-Plant Pathogen-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
AB430810_SH1357472.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB449195_SH1333780.10FU	Ectomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
AB476491_SH1172685.10FU	Fungal Parasite-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
AB498974_SH1357455.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB505449_SH1164841.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB506962_SH1299983.10FU	|Ectomycorrhizal|-Orchid Mycorrhizal-Root Associated Biotroph	Symbiotroph	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
AB517935_SH0007489.10FU	|Animal Parasite|-Animal Pathogen-Endophyte-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AB520291_SH0166146.10FU	Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB520305_SH0073487.10FU	|Fungal Parasite|-Plant Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB520441_SH1410068.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB520511_SH1062083.10FU	Endophyte-Plant Saprotroph-|Undefined Saprotroph|	Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
AB520597_SH1157419.10FU	Lichenized-Undefined Saprotroph	Saprotroph-Symbiotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
AB524806_SH1242179.10FU	|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB524807_SH1242168.10FU	|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB525925_SH1830824.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB540567_SH1292749.10FU	Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB540572_SH1370211.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB540575_SH1292846.10FU	Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AB540580_SH1222362.10FU	Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB545810_SH1051500.10FU	|Plant Saprotroph|-Undefined Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB566287_SH1196176.10FU	Dung Saprotroph-Plant Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB586986_SH1360744.10FU	Endophyte-|Plant Pathogen|	Pathotroph-Symbiotroph	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
AB586992_SH1049487.10FU	Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB586997_SH1056258.10FU	|Fungal Parasite|	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AB587028_SH1049685.10FU	Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB587769_SH1249106.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB587785_SH1283696.10FU	Ectomycorrhizal-Undefined Saprotroph	Saprotroph-Symbiotroph	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
AB597632_SH1375789.10FU	Ectomycorrhizal-Lichen Parasite-Lichenized-Plant Pathogen	Pathotroph-Saprotroph-Symbiotroph	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
AB603989_SH1202152.10FU	|Animal Parasite|-Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB604002_SH1202170.10FU	|Animal Parasite|-Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB625580_SH1355132.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB625584_SH1355334.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB625592_SH1355355.10FU	Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AB667870_SH1668355.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB678212_SH1206107.10FU	Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB712016_SH0116004.10FU	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB712017_SH0034260.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB712028_SH0034279.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB712278_SH1256172.10FU	Ectomycorrhizal-Endomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
AB712441_SH1351488.10FU	|Wood Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB726571_SH1337873.10FU	|Fungal Parasite|	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AB741585_SH1376964.10FU	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB763348_SH1498396.10FU	|Plant Pathogen|-Wood Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AB769413_SH1357468.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB769449_SH1876200.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB769919_SH1283635.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB777486_SH0162729.10FU	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	Saprotroph-Symbiotroph	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
AB807936_SH0167682.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB809634_SH1331413.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB809644_SH1296689.10FU	|Plant Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB809645_SH1310046.10FU	Endophyte-|Plant Pathogen|-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB811456_SH1349364.10FU	Undefined Saprotroph-|Wood Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB811457_SH1788397.10FU	Undefined Saprotroph-|Wood Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB839385_SH1162431.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB854092_SH1271913.10FU	|Wood Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB861764_SH1196775.10FU	Dung Saprotroph-Soil Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB908437_SH0100900.10FU	Endophyte-|Plant Pathogen|	Pathotroph-Symbiotroph	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
AB922881_SH0171237.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AB926099_SH1320343.10FU	|Plant Saprotroph|-Undefined Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB926108_SH0090442.10FU	Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
AB968398_SH1179616.10FU	Endophyte-|Insect Pathogen|-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AB972781_SH1182914.10FU	|Lichen Parasite|	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AB972802_SH1320839.10FU	|Lichen Parasite|	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AB972824_SH1219725.10FU	Ectomycorrhizal-Fungal Parasite-Plant Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
AB975300_SH0081628.10FU	Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AB986339_SH1277461.10FU	Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AB986459_SH1160601.10FU	Undefined Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF009215_SH1056880.10FU	Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF011307_SH1340069.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AF033398_SH1348791.10FU	Animal Parasite-|Undefined Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF033422_SH1095328.10FU	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AF033430_SH1223844.10FU	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AF043510_SH1179396.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF050244_SH1350526.10FU	Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AF050258_SH1389175.10FU	Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AF050276_SH0116018.10FU	Animal Pathogen-Plant Saprotroph-|Undefined Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF062788_SH1315003.10FU	Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AF062809_SH1314940.10FU	Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AF106521_SH1301050.10FU	Animal Parasite-|Wood Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF128440_SH1371020.10FU	|Plant Saprotroph|-Undefined Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF133785_SH1406280.10FU	Endophyte-Plant Saprotroph-|Undefined Saprotroph|	Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
AF139627_SH1083418.10FU	|Plant Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF139851_SH1303360.10FU	|Animal Parasite|-Animal Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF144483_SH1329982.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF145320_SH1849142.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF145323_SH1277596.10FU	Plant Saprotroph-|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF154327_SH1339999.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AF173309_SH1784009.10FU	|Plant Saprotroph|-Undefined Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF178556_SH1270448.10FU	Plant Saprotroph-Wood Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF184748_SH1282302.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AF193384_SH1395623.10FU	|Plant Pathogen|-Plant Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AF193390_SH1241246.10FU	|Plant Pathogen|-Plant Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AF210668_SH1308671.10FU	Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AF210674_SH1308454.10FU	Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AF210677_SH1308415.10FU	Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AF210682_SH1308343.10FU	Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
AF310170_SH1339005.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AF310173_SH1386156.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AF310981_SH0001382.10FU	Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AF314965_SH1394624.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF314971_SH1234233.10FU	Epiphyte-|Undefined Saprotroph|	Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
AF324170_SH1359711.10FU	Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF325171_SH1135710.10FU	|Animal Parasite|-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF325173_SH1135717.10FU	|Animal Parasite|-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AF345813_SH1387404.10FU	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF384860_SH1054152.10FU	Ectomycorrhizal-|Plant Saprotroph|	Saprotroph-Symbiotroph	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
AF393726_SH1314930.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF410472_SH1358777.10FU	|Animal Parasite|-Fungal Parasite	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AF410830_SH1199696.10FU	|Lichenized|	Symbiotroph	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
AF429424_SH1389809.10FU	Undefined Saprotroph-|Wood Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF435829_SH1195539.10FU	Ectomycorrhizal-|Undefined Saprotroph|	Saprotroph-Symbiotroph	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
AF439465_SH1331838.10FU	Endophyte-Plant Pathogen-|Plant Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AF439504_SH1338554.10FU	Endophyte-Plant Pathogen-|Plant Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AF439625_SH1078881.10FU	Endophyte-|Plant Pathogen|-Plant Saprotroph	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AF444292_SH1337943.10FU	|Fungal Parasite|	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AF444301_SH1302871.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF444302_SH1207629.10FU	Animal Pathogen-Endophyte-Epiphyte-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AF444319_SH1324214.10FU	Epiphyte-|Undefined Saprotroph|	Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
AF444320_SH1273816.10FU	|Fungal Parasite|	Pathotroph	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
AF444321_SH1406867.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF444322_SH1147134.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AF444323_SH1135756.10FU	|Animal Parasite|-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
